from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022012080860005,9022012080860005,1,,121120000324765583,121120000323386208
9022012080860005,9022012080860005,1,,121120000324765628,121120000323382767
9022012080860005,9022012080860005,1,,121120000324766123,121120000324850153
9022012080860005,9022012080860005,1,,121120000324766663,121120000324850215
9022012080860005,9022012080860005,1,,121120000324767788,121120000323385012
9022012080860005,9022012080860005,1,,121120000324766033,121120000323383104
9022012080860005,9022012080860005,1,,121120000324766393,121120000324850184
9022012080860005,9022012080860005,1,,121120000324766573,121120000323382539
9022012080860005,9022012080860005,1,,121120000324766708,121120000323382653
9022012080860005,9022012080860005,1,,121120000324767428,121120000323383669
9022012080860005,9022012080860005,1,,121120000324767563,121120000323383783
9022012080860005,9022012080860005,1,,121120000324767653,121120000323384900
9022012080860005,9022012080860005,1,,121120000324767968,121120000323385180
9022012080860005,9022012080860005,1,,121120000324769413,121120000324551694
9022012080860005,9022012080860005,1,,121120000324769818,121120000323383840
9022012080860005,9022012080860005,1,,121120000324770088,121120000323384068
9022012080860005,9022012080860005,1,,121120000324772941,121120000324551505
9022012080860005,9022012080860005,1,,121120000324773076,121120000323433321
9022012080860005,9022012080860005,1,,121120000324769080,121120000324551570
9022012080860005,9022012080860005,1,,121120000324770178,121120000324850153
9022012080860005,9022012080860005,1,,121120000324770448,121120000324850184
9022012080860005,9022012080860005,1,,121120000324770628,121120000323384523
9022012080860005,9022012080860005,1,,121120000324772986,121120000324850040
9022012080860005,9022012080860005,1,,121120000324773121,121120000324550875
9022012080860005,9022012080860005,1,,121120000324769260,121120000324551632
9022012080860005,9022012080860005,1,,121120000324769314,121120000324551195
9022012080860005,9022012080860005,1,,121120000324769368,121120000324551381
9022012080860005,9022012080860005,1,,121120000324769683,121120000323385292
9022012080860005,9022012080860005,1,,121120000324769908,121120000324850122
9022012080860005,9022012080860005,1,,121120000324769953,121120000323383954
9022012080860005,9022012080860005,1,,121120000324770223,121120000323384182
9022012080860005,9022012080860005,1,,121120000324770358,121120000323384295
9022012080860005,9022012080860005,1,,121120000324770763,121120000323384637
9022012080860005,9022012080860005,1,,121120000324773031,121120000324550689
9022012080860005,9022012080860005,1,,121120000324773148,121120000324550627
9022012080860005,9022012080860005,1,,121120000324773202,121120000324550813
9022012080860005,9022012080860005,1,,121120000324773292,121120000324550751
9022012080860005,9022012080860005,1,,121120000324773382,121120000324550937
9022012080860005,9022012080860005,1,,121120000324773688,121120000323433351
9022012080860005,9022012080860005,1,,121120000324765763,121120000323382880
9022012080860005,9022012080860005,1,,121120000324765898,121120000323382992
9022012080860005,9022012080860005,1,,121120000324766168,121120000323383216
9022012080860005,9022012080860005,1,,121120000324766303,121120000323383328
9022012080860005,9022012080860005,1,,121120000324766438,121120000323382425
9022012080860005,9022012080860005,1,,121120000324769548,121120000324551257
9022012080860005,9022012080860005,1,,121120000324769638,121120000324551443
9022012080860005,9022012080860005,1,,121120000324770493,121120000323384409
9022012080860005,9022012080860005,1,,121120000324770718,121120000324850215
9022012080860005,9022012080860005,1,,121120000324771213,121120000324551319
9022012080860005,9022012080860005,1,,121120000324772743,121120000317627224
9022012080860005,9022012080860005,1,,121120000324772824,121120000317627168
