trip_id,organization_name,is_operator
121120000324766168,Nobina Sverige AB,1
121120000324766303,Nobina Sverige AB,1
121120000324766438,Nobina Sverige AB,1
121120000324766753,Nobina Sverige AB,1
121120000324766888,Nobina Sverige AB,1
121120000324766933,Nobina Sverige AB,1
121120000324767023,Nobina Sverige AB,1
121120000324767293,Nobina Sverige AB,1
121120000324767338,Nobina Sverige AB,1
121120000324767473,Nobina Sverige AB,1
121120000324767833,Nobina Sverige AB,1
121120000324768013,Nobina Sverige AB,1
121120000324768058,Nobina Sverige AB,1
121120000324768148,Nobina Sverige AB,1
121120000324768328,Nobina Sverige AB,1
121120000324768643,Nobina Sverige AB,1
121120000324768688,Nobina Sverige AB,1
121120000324768831,Nobina Sverige AB,1
121120000324768891,Nobina Sverige AB,1
121120000324769053,Nobina Sverige AB,1
121120000324769341,Nobina Sverige AB,1
121120000324769548,Nobina Sverige AB,1
121120000324769593,Nobina Sverige AB,1
121120000324769638,Nobina Sverige AB,1
121120000324769773,Nobina Sverige AB,1
121120000324769998,Nobina Sverige AB,1
121120000324770493,Nobina Sverige AB,1
121120000324770583,Nobina Sverige AB,1
121120000324770673,Nobina Sverige AB,1
121120000324770718,Nobina Sverige AB,1
121120000324770988,Nobina Sverige AB,1
121120000324771078,Nobina Sverige AB,1
121120000324771213,Nobina Sverige AB,1
121120000324771348,Nobina Sverige AB,1
121120000324771573,Nobina Sverige AB,1
121120000324771798,Nobina Sverige AB,1
121120000324772113,Nobina Sverige AB,1
121120000324772383,Nobina Sverige AB,1
121120000324772473,Nobina Sverige AB,1
121120000324772743,Nobina Sverige AB,1
121120000324772824,Nobina Sverige AB,1
121120000324773247,Nobina Sverige AB,1
121120000324773427,Nobina Sverige AB,1
121120000324773472,Nobina Sverige AB,1
121120000324773517,Nobina Sverige AB,1
121120000324773589,Nobina Sverige AB,1
121120000324773868,Nobina Sverige AB,1
121120000324773958,Nobina Sverige AB,1
121120000324774003,Nobina Sverige AB,1
121120000324774048,Nobina Sverige AB,1
121120000324774183,Nobina Sverige AB,1
121120000324774453,Nobina Sverige AB,1
121120000324774543,Nobina Sverige AB,1
121120000324774588,Nobina Sverige AB,1
121120000324774813,Nobina Sverige AB,1
121120000324775080,Nobina Sverige AB,1
121120000324773562,Nobina Sverige AB,1
121120000324773913,Nobina Sverige AB,1
121120000324774138,Nobina Sverige AB,1
121120000324774768,Nobina Sverige AB,1
121120000324774962,Nobina Sverige AB,1
121120000324775198,Nobina Sverige AB,1
121120000324775316,Nobina Sverige AB,1
121120000324775524,Nobina Sverige AB,1
121120000324775704,Nobina Sverige AB,1
121120000324775749,Nobina Sverige AB,1
121120000324775839,Nobina Sverige AB,1
121120000324776047,Nobina Sverige AB,1
121120000324776106,Nobina Sverige AB,1
121120000324776506,Nobina Sverige AB,1
121120000324776629,Nobina Sverige AB,1
121120000324777106,Nobina Sverige AB,1
121120000324777401,Nobina Sverige AB,1
121120000324777578,Nobina Sverige AB,1
121120000324777637,Nobina Sverige AB,1
121120000324777696,Nobina Sverige AB,1
121120000324777932,Nobina Sverige AB,1
121120000324778109,Nobina Sverige AB,1
121120000324778168,Nobina Sverige AB,1
121120000324778463,Nobina Sverige AB,1
121120000324778935,Nobina Sverige AB,1
121120000324779335,Nobina Sverige AB,1
121120000324779394,Nobina Sverige AB,1
121120000324779689,Nobina Sverige AB,1
121120000324779807,Nobina Sverige AB,1
121120000324779866,Nobina Sverige AB,1
121120000324779984,Nobina Sverige AB,1
121120000324780043,Nobina Sverige AB,1
121120000324780178,Nobina Sverige AB,1
121120000324780445,Nobina Sverige AB,1
121120000324781094,Nobina Sverige AB,1
121120000324781271,Nobina Sverige AB,1
121120000324781389,Nobina Sverige AB,1
121120000324781507,Nobina Sverige AB,1
121120000324781715,Nobina Sverige AB,1
121120000324781850,Nobina Sverige AB,1
121120000324781985,Nobina Sverige AB,1
121120000324782075,Nobina Sverige AB,1
121120000324782345,Nobina Sverige AB,1
121120000324782464,Nobina Sverige AB,1
121120000324782700,Nobina Sverige AB,1
121120000324782877,Nobina Sverige AB,1
121120000324782936,Nobina Sverige AB,1
121120000324783644,Nobina Sverige AB,1
121120000324783821,Nobina Sverige AB,1
121120000324784102,Nobina Sverige AB,1
121120000324784237,Nobina Sverige AB,1
121120000324784282,Nobina Sverige AB,1
121120000324784462,Nobina Sverige AB,1
121120000324784597,Nobina Sverige AB,1
121120000324784687,Nobina Sverige AB,1
121120000324784912,Nobina Sverige AB,1
121120000324785075,Nobina Sverige AB,1
121120000324785252,Nobina Sverige AB,1
121120000324785547,Nobina Sverige AB,1
121120000324786432,Nobina Sverige AB,1
121120000324786550,Nobina Sverige AB,1
121120000324786744,Nobina Sverige AB,1
121120000324786834,Nobina Sverige AB,1
121120000324775569,Nobina Sverige AB,1
121120000324775614,Nobina Sverige AB,1
121120000324775794,Nobina Sverige AB,1
121120000324775929,Nobina Sverige AB,1
121120000324776188,Nobina Sverige AB,1
121120000324776306,Nobina Sverige AB,1
121120000324776365,Nobina Sverige AB,1
121120000324776752,Nobina Sverige AB,1
121120000324776929,Nobina Sverige AB,1
121120000324776988,Nobina Sverige AB,1
121120000324777165,Nobina Sverige AB,1
121120000324777342,Nobina Sverige AB,1
121120000324777460,Nobina Sverige AB,1
121120000324777755,Nobina Sverige AB,1
121120000324778286,Nobina Sverige AB,1
121120000324778345,Nobina Sverige AB,1
121120000324778522,Nobina Sverige AB,1
121120000324778817,Nobina Sverige AB,1
121120000324779058,Nobina Sverige AB,1
121120000324779158,Nobina Sverige AB,1
121120000324779571,Nobina Sverige AB,1
121120000324780268,Nobina Sverige AB,1
121120000324780681,Nobina Sverige AB,1
121120000324780799,Nobina Sverige AB,1
121120000324781448,Nobina Sverige AB,1
121120000324781566,Nobina Sverige AB,1
121120000324781670,Nobina Sverige AB,1
121120000324781760,Nobina Sverige AB,1
121120000324782405,Nobina Sverige AB,1
121120000324782759,Nobina Sverige AB,1
121120000324783231,Nobina Sverige AB,1
121120000324783585,Nobina Sverige AB,1
121120000324783703,Nobina Sverige AB,1
121120000324784147,Nobina Sverige AB,1
121120000324784192,Nobina Sverige AB,1
121120000324784327,Nobina Sverige AB,1
121120000324784417,Nobina Sverige AB,1
121120000324784642,Nobina Sverige AB,1
121120000324784732,Nobina Sverige AB,1
121120000324784777,Nobina Sverige AB,1
121120000324785016,Nobina Sverige AB,1
121120000324785134,Nobina Sverige AB,1
121120000324785193,Nobina Sverige AB,1
121120000324785311,Nobina Sverige AB,1
121120000324785488,Nobina Sverige AB,1
121120000324785842,Nobina Sverige AB,1
121120000324786196,Nobina Sverige AB,1
121120000324786373,Nobina Sverige AB,1
121120000324786609,Nobina Sverige AB,1
121120000324786893,Nobina Sverige AB,1
121120000324786952,Nobina Sverige AB,1
121120000324775139,Nobina Sverige AB,1
121120000324775479,Nobina Sverige AB,1
121120000324776711,Nobina Sverige AB,1
121120000324777519,Nobina Sverige AB,1
121120000324777814,Nobina Sverige AB,1
121120000324777873,Nobina Sverige AB,1
121120000324778050,Nobina Sverige AB,1
121120000324778640,Nobina Sverige AB,1
121120000324778976,Nobina Sverige AB,1
121120000324779099,Nobina Sverige AB,1
121120000324779217,Nobina Sverige AB,1
121120000324779453,Nobina Sverige AB,1
121120000324779748,Nobina Sverige AB,1
121120000324779925,Nobina Sverige AB,1
121120000324780223,Nobina Sverige AB,1
121120000324780504,Nobina Sverige AB,1
121120000324780858,Nobina Sverige AB,1
121120000324780976,Nobina Sverige AB,1
121120000324781212,Nobina Sverige AB,1
121120000324781625,Nobina Sverige AB,1
121120000324781805,Nobina Sverige AB,1
121120000324782030,Nobina Sverige AB,1
121120000324782120,Nobina Sverige AB,1
121120000324782225,Nobina Sverige AB,1
121120000324782285,Nobina Sverige AB,1
121120000324782641,Nobina Sverige AB,1
121120000324783349,Nobina Sverige AB,1
121120000324783467,Nobina Sverige AB,1
121120000324783526,Nobina Sverige AB,1
121120000324783762,Nobina Sverige AB,1
121120000324783880,Nobina Sverige AB,1
121120000324783939,Nobina Sverige AB,1
121120000324784552,Nobina Sverige AB,1
121120000324785606,Nobina Sverige AB,1
121120000324785665,Nobina Sverige AB,1
121120000324785783,Nobina Sverige AB,1
121120000324785901,Nobina Sverige AB,1
121120000324786019,Nobina Sverige AB,1
121120000324786078,Nobina Sverige AB,1
121120000324786255,Nobina Sverige AB,1
121120000324786491,Nobina Sverige AB,1
121120000324786699,Nobina Sverige AB,1
121120000324786789,Nobina Sverige AB,1
121120000324787011,Nobina Sverige AB,1
121120000324775257,Nobina Sverige AB,1
121120000324775375,Nobina Sverige AB,1
121120000324775434,Nobina Sverige AB,1
121120000324775659,Nobina Sverige AB,1
121120000324775884,Nobina Sverige AB,1
121120000324775988,Nobina Sverige AB,1
121120000324776147,Nobina Sverige AB,1
121120000324776247,Nobina Sverige AB,1
121120000324776424,Nobina Sverige AB,1
121120000324776465,Nobina Sverige AB,1
121120000324776547,Nobina Sverige AB,1
121120000324776588,Nobina Sverige AB,1
121120000324776670,Nobina Sverige AB,1
121120000324776811,Nobina Sverige AB,1
121120000324776870,Nobina Sverige AB,1
121120000324777047,Nobina Sverige AB,1
121120000324777224,Nobina Sverige AB,1
121120000324777283,Nobina Sverige AB,1
121120000324777991,Nobina Sverige AB,1
121120000324778227,Nobina Sverige AB,1
121120000324778404,Nobina Sverige AB,1
121120000324778581,Nobina Sverige AB,1
121120000324778699,Nobina Sverige AB,1
121120000324778758,Nobina Sverige AB,1
121120000324778876,Nobina Sverige AB,1
121120000324779017,Nobina Sverige AB,1
121120000324779276,Nobina Sverige AB,1
121120000324779512,Nobina Sverige AB,1
121120000324779630,Nobina Sverige AB,1
121120000324780088,Nobina Sverige AB,1
121120000324780133,Nobina Sverige AB,1
121120000324780327,Nobina Sverige AB,1
121120000324780386,Nobina Sverige AB,1
121120000324780563,Nobina Sverige AB,1
121120000324780622,Nobina Sverige AB,1
121120000324780740,Nobina Sverige AB,1
121120000324780917,Nobina Sverige AB,1
121120000324781035,Nobina Sverige AB,1
121120000324781153,Nobina Sverige AB,1
121120000324781330,Nobina Sverige AB,1
121120000324781895,Nobina Sverige AB,1
121120000324781940,Nobina Sverige AB,1
121120000324782165,Nobina Sverige AB,1
121120000324782523,Nobina Sverige AB,1
121120000324782582,Nobina Sverige AB,1
121120000324782818,Nobina Sverige AB,1
121120000324782995,Nobina Sverige AB,1
121120000324783054,Nobina Sverige AB,1
121120000324783113,Nobina Sverige AB,1
121120000324783172,Nobina Sverige AB,1
121120000324783290,Nobina Sverige AB,1
121120000324783408,Nobina Sverige AB,1
121120000324783998,Nobina Sverige AB,1
121120000324784057,Nobina Sverige AB,1
121120000324784372,Nobina Sverige AB,1
121120000324784507,Nobina Sverige AB,1
121120000324784822,Nobina Sverige AB,1
121120000324784867,Nobina Sverige AB,1
121120000324784957,Nobina Sverige AB,1
121120000324785370,Nobina Sverige AB,1
121120000324785429,Nobina Sverige AB,1
121120000324785724,Nobina Sverige AB,1
121120000324785960,Nobina Sverige AB,1
121120000324786137,Nobina Sverige AB,1
121120000324786314,Nobina Sverige AB,1
121120000324786654,Nobina Sverige AB,1
121120000324787070,Nobina Sverige AB,1
121120000324787129,Nobina Sverige AB,1
121120000324787188,Nobina Sverige AB,1
121120000323461584,Nobina Sverige AB,1
121120000323461671,Nobina Sverige AB,1
121120000323461787,Nobina Sverige AB,1
121120000323461961,Nobina Sverige AB,1
121120000323462105,Nobina Sverige AB,1
121120000323462279,Nobina Sverige AB,1
121120000323462567,Nobina Sverige AB,1
121120000323462847,Nobina Sverige AB,1
121120000323462875,Nobina Sverige AB,1
121120000323463127,Nobina Sverige AB,1
121120000323463155,Nobina Sverige AB,1
121120000323463267,Nobina Sverige AB,1
121120000323463667,Nobina Sverige AB,1
121120000323463870,Nobina Sverige AB,1
121120000323464250,Nobina Sverige AB,1
121120000323464308,Nobina Sverige AB,1
121120000323464424,Nobina Sverige AB,1
121120000323464511,Nobina Sverige AB,1
121120000323464540,Nobina Sverige AB,1
121120000323464714,Nobina Sverige AB,1
121120000323464772,Nobina Sverige AB,1
121120000323464975,Nobina Sverige AB,1
121120000323465120,Nobina Sverige AB,1
121120000323465149,Nobina Sverige AB,1
121120000323465265,Nobina Sverige AB,1
121120000323465294,Nobina Sverige AB,1
121120000323465323,Nobina Sverige AB,1
121120000323465584,Nobina Sverige AB,1
121120000323465613,Nobina Sverige AB,1
121120000323465642,Nobina Sverige AB,1
121120000323465671,Nobina Sverige AB,1
121120000323465700,Nobina Sverige AB,1
121120000323465845,Nobina Sverige AB,1
121120000323466195,Nobina Sverige AB,1
121120000323466288,Nobina Sverige AB,1
121120000323466404,Nobina Sverige AB,1
121120000323466433,Nobina Sverige AB,1
121120000323466462,Nobina Sverige AB,1
121120000323466491,Nobina Sverige AB,1
121120000323466578,Nobina Sverige AB,1
121120000323466652,Nobina Sverige AB,1
121120000323466903,Nobina Sverige AB,1
121120000323467220,Nobina Sverige AB,1
121120000323467278,Nobina Sverige AB,1
121120000323467452,Nobina Sverige AB,1
121120000323467827,Nobina Sverige AB,1
121120000323467942,Nobina Sverige AB,1
121120000323468174,Nobina Sverige AB,1
121120000323468289,Nobina Sverige AB,1
121120000323468434,Nobina Sverige AB,1
121120000323468463,Nobina Sverige AB,1
121120000323468952,Nobina Sverige AB,1
121120000323469093,Nobina Sverige AB,1
121120000323469121,Nobina Sverige AB,1
121120000323469205,Nobina Sverige AB,1
121120000323469261,Nobina Sverige AB,1
121120000323461613,Nobina Sverige AB,1
121120000323461758,Nobina Sverige AB,1
121120000323462163,Nobina Sverige AB,1
121120000323462308,Nobina Sverige AB,1
121120000323462366,Nobina Sverige AB,1
121120000323462453,Nobina Sverige AB,1
121120000323462538,Nobina Sverige AB,1
121120000323462595,Nobina Sverige AB,1
121120000323462651,Nobina Sverige AB,1
121120000323462763,Nobina Sverige AB,1
121120000323462959,Nobina Sverige AB,1
121120000323463015,Nobina Sverige AB,1
121120000323463071,Nobina Sverige AB,1
121120000323463099,Nobina Sverige AB,1
121120000323463183,Nobina Sverige AB,1
121120000323463351,Nobina Sverige AB,1
121120000323463379,Nobina Sverige AB,1
121120000323463407,Nobina Sverige AB,1
121120000323463435,Nobina Sverige AB,1
121120000323463464,Nobina Sverige AB,1
121120000323463551,Nobina Sverige AB,1
121120000323463754,Nobina Sverige AB,1
121120000323463812,Nobina Sverige AB,1
121120000323463972,Nobina Sverige AB,1
121120000323464060,Nobina Sverige AB,1
121120000323464104,Nobina Sverige AB,1
121120000323464148,Nobina Sverige AB,1
121120000323464366,Nobina Sverige AB,1
121120000323464395,Nobina Sverige AB,1
121120000323464569,Nobina Sverige AB,1
121120000323464598,Nobina Sverige AB,1
121120000323464656,Nobina Sverige AB,1
121120000323464685,Nobina Sverige AB,1
121120000323464743,Nobina Sverige AB,1
121120000323464946,Nobina Sverige AB,1
121120000323465033,Nobina Sverige AB,1
121120000323465207,Nobina Sverige AB,1
121120000323465236,Nobina Sverige AB,1
121120000323465352,Nobina Sverige AB,1
121120000323465410,Nobina Sverige AB,1
121120000323465497,Nobina Sverige AB,1
121120000323465729,Nobina Sverige AB,1
121120000323465961,Nobina Sverige AB,1
121120000323466048,Nobina Sverige AB,1
121120000323466077,Nobina Sverige AB,1
121120000323466346,Nobina Sverige AB,1
121120000323466375,Nobina Sverige AB,1
121120000323466697,Nobina Sverige AB,1
121120000323466845,Nobina Sverige AB,1
121120000323466874,Nobina Sverige AB,1
121120000323466961,Nobina Sverige AB,1
121120000323467191,Nobina Sverige AB,1
121120000323467249,Nobina Sverige AB,1
121120000323467365,Nobina Sverige AB,1
121120000323467394,Nobina Sverige AB,1
121120000323467597,Nobina Sverige AB,1
121120000323467655,Nobina Sverige AB,1
121120000323467798,Nobina Sverige AB,1
121120000323467856,Nobina Sverige AB,1
121120000323467971,Nobina Sverige AB,1
121120000323468000,Nobina Sverige AB,1
121120000323468087,Nobina Sverige AB,1
121120000323468116,Nobina Sverige AB,1
121120000323468376,Nobina Sverige AB,1
121120000323468405,Nobina Sverige AB,1
121120000323468608,Nobina Sverige AB,1
121120000323468753,Nobina Sverige AB,1
121120000323468811,Nobina Sverige AB,1
121120000323468868,Nobina Sverige AB,1
121120000323469008,Nobina Sverige AB,1
121120000323469149,Nobina Sverige AB,1
121120000323469177,Nobina Sverige AB,1
121120000323461556,Nobina Sverige AB,1
121120000323461729,Nobina Sverige AB,1
121120000323461816,Nobina Sverige AB,1
121120000323461932,Nobina Sverige AB,1
121120000323461990,Nobina Sverige AB,1
121120000323462019,Nobina Sverige AB,1
121120000323462047,Nobina Sverige AB,1
121120000323462134,Nobina Sverige AB,1
121120000323462192,Nobina Sverige AB,1
121120000323462221,Nobina Sverige AB,1
121120000323462250,Nobina Sverige AB,1
121120000323462337,Nobina Sverige AB,1
121120000323462395,Nobina Sverige AB,1
121120000323462424,Nobina Sverige AB,1
121120000323462482,Nobina Sverige AB,1
121120000323462510,Nobina Sverige AB,1
121120000323462623,Nobina Sverige AB,1
121120000323462903,Nobina Sverige AB,1
